Minute,Fraction
262045,0.46454399999999996
262046,0.46454399999999996
262047,0.46454399999999996
262048,0.46454399999999996
262049,0.46454399999999996
262050,0.46454399999999996
262718,0.6460199999999999
262719,0.6460199999999999
262720,0.6460199999999999
262721,0.6460199999999999
265549,0.536469
265550,0.536469
265551,0.536469
265552,0.536469
265553,0.536469
265554,0.536469
265555,0.536469
265556,0.536469
265557,0.536469
265558,0.536469
266818,0.677713
266819,0.677713
266820,0.677713
266821,0.677713
266822,0.677713
266823,0.677713
277331,0.580174
277332,0.580174
277333,0.580174
277334,0.580174
277335,0.580174
277336,0.580174
279904,0.723444
279905,0.723444
279906,0.723444
279907,0.723444
279908,0.723444
279909,0.723444
279910,0.723444
279911,0.723444
279912,0.723444
281280,0.7963819999999999
281281,0.7963819999999999
281282,0.7963819999999999
281283,0.7963819999999999
281284,0.7963819999999999
281285,0.7963819999999999
281364,0.600579
281365,0.600579
281366,0.600579
281367,0.600579
281368,0.600579
281369,0.600579
284809,0.44023199999999996
284810,0.44023199999999996
284811,0.44023199999999996
284812,0.44023199999999996
284813,0.44023199999999996
284814,0.44023199999999996
284815,0.44023199999999996
286444,0.72026
286445,0.72026
291818,0.709262
291819,0.709262
291820,0.709262
291821,0.709262
291822,0.709262
292772,0.9178
292773,0.9178
292774,0.9178
292775,0.9178
296449,0.603039
296450,0.603039
296451,0.603039
296452,0.603039
296453,0.603039
296454,0.603039
304963,0.700868
304964,0.700868
311081,0.414472
311082,0.414472
311083,0.414472
311084,0.414472
311085,0.414472
311086,0.414472
318875,0.722576
318876,0.722576
318877,0.722576
318878,0.722576
318879,0.722576
318880,0.722576
318881,0.722576
318882,0.722576
318883,0.722576
318884,0.722576
328955,0.722576
328956,0.722576
328957,0.722576
328958,0.722576
328959,0.722576
328960,0.722576
328961,0.722576
328962,0.722576
328963,0.722576
328964,0.722576
332981,0.80521
332982,0.80521
332983,0.80521
332984,0.80521
332985,0.80521
332986,0.80521
332987,0.80521
332988,0.80521
333916,0.356295
333917,0.356295
333918,0.356295
333919,0.356295
333920,0.356295
333921,0.356295
336225,0.962808
336226,0.962808
336227,0.962808
336228,0.962808
336229,0.962808
336230,0.962808
338131,0.65398
338132,0.65398
338133,0.65398
338134,0.65398
338135,0.65398
338136,0.65398
338137,0.65398
338138,0.65398
338139,0.65398
341730,0.626339
341731,0.626339
341732,0.626339
341733,0.626339
341734,0.626339
341735,0.626339
343960,0.33314
343961,0.33314
343962,0.33314
343963,0.33314
343964,0.33314
343965,0.33314
344077,0.7111430000000001
344078,0.7111430000000001
344079,0.7111430000000001
344080,0.7111430000000001
344081,0.7111430000000001
344082,0.7111430000000001
346135,0.770912
346136,0.770912
346137,0.770912
346138,0.770912
346139,0.770912
346140,0.770912
346141,0.770912
376959,0.771491
376960,0.771491
376961,0.771491
376962,0.771491
376963,0.771491
376964,0.771491
380542,0.700289
380543,0.700289
380544,0.700289
380545,0.700289
380546,0.700289
380547,0.700289
380548,0.700289
380549,0.700289
386699,1.0
386700,1.0
386701,1.0
386702,1.0
392826,0.8235889999999999
392827,0.8235889999999999
392828,0.8235889999999999
392829,0.8235889999999999
392830,0.8235889999999999
392831,0.8235889999999999
392832,0.8235889999999999
397247,0.7520979999999999
397248,0.7520979999999999
397249,0.7520979999999999
397250,0.7520979999999999
397251,0.7520979999999999
397252,0.7520979999999999
397253,0.7520979999999999
400055,0.664834
400056,0.664834
400057,0.664834
400058,0.664834
400059,0.664834
400060,0.664834
400061,0.664834
402464,0.743271
402465,0.743271
402466,0.743271
402467,0.743271
402468,0.743271
403595,0.5159189999999999
403596,0.5159189999999999
403597,0.5159189999999999
403598,0.5159189999999999
403599,0.5159189999999999
403600,0.5159189999999999
403601,0.5159189999999999
408561,0.68466
408562,0.68466
408563,0.68466
408564,0.68466
408565,0.68466
408566,0.68466
408567,0.68466
408568,0.68466
409268,0.5771350000000001
409269,0.5771350000000001
409270,0.5771350000000001
409271,0.5771350000000001
409272,0.5771350000000001
409273,0.5771350000000001
409274,0.5771350000000001
409275,0.5771350000000001
410165,0.68712
410166,0.68712
410167,0.68712
410168,0.68712
410169,0.68712
427029,0.60246
427030,0.60246
427031,0.60246
427032,0.60246
427033,0.60246
427034,0.60246
427035,0.60246
434489,0.48191000000000006
434490,0.48191000000000006
434491,0.48191000000000006
434492,0.48191000000000006
434493,0.48191000000000006
434494,0.48191000000000006
434495,0.48191000000000006
434496,0.48191000000000006
450853,0.7263390000000001
